"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
66,http://www.wikidata.org/entity/Q100700771,astronomer,NA,NA,NA,NA,NA,66,
67,http://www.wikidata.org/entity/Q100711748,astronomer,NA,NA,NA,NA,NA,67,
68,http://www.wikidata.org/entity/Q100733846,physicist,NA,NA,NA,NA,NA,68,
69,http://www.wikidata.org/entity/Q100734,physicist,chemist,NA,NA,NA,NA,69,
70,http://www.wikidata.org/entity/Q100739,astronomer,meteorologist,NA,NA,NA,NA,70,
71,http://www.wikidata.org/entity/Q100741800,NA,science-communicator,editing-staff,astronomy,christianity,charity,71,
72,http://www.wikidata.org/entity/Q100744,physicist,NA,NA,NA,NA,NA,72,
73,http://www.wikidata.org/entity/Q100746,physicist,university-teacher,NA,NA,NA,NA,73,
74,http://www.wikidata.org/entity/Q100752508,NA,university-teacher,astrophysicist,physics,astrophysics,cosmic-dust,74,
75,http://www.wikidata.org/entity/Q100752551,astronomer,researcher,NA,NA,NA,NA,75,
76,http://www.wikidata.org/entity/Q100752627,astronomer,researcher,NA,NA,NA,NA,76,
77,http://www.wikidata.org/entity/Q100752648,astronomer,chemist,cosmochemist,NA,NA,NA,77,
78,http://www.wikidata.org/entity/Q100831316,physicist,university-teacher,astrophysicist,astronomy,astrophysics,NA,78,
79,http://www.wikidata.org/entity/Q100855,physicist,university-teacher,writer,NA,NA,NA,79,
80,http://www.wikidata.org/entity/Q100869,astronomer,astrophysicist,NA,NA,NA,NA,80,
81,http://www.wikidata.org/entity/Q100871123,physicist,mathematician,NA,NA,NA,NA,81,
82,http://www.wikidata.org/entity/Q100871651,physicist,NA,NA,NA,NA,NA,82,
83,http://www.wikidata.org/entity/Q1008762,physicist,NA,NA,NA,NA,NA,83,
84,http://www.wikidata.org/entity/Q100878578,physicist,NA,NA,NA,NA,NA,84,
85,http://www.wikidata.org/entity/Q100891367,physicist,university-teacher,NA,NA,NA,NA,85,
86,http://www.wikidata.org/entity/Q100898707,physicist,NA,NA,NA,NA,NA,86,
87,http://www.wikidata.org/entity/Q100905509,astronomer,astrophysicist,NA,NA,NA,NA,87,
88,http://www.wikidata.org/entity/Q100914,physicist,university-teacher,mathematician,NA,NA,NA,88,
89,http://www.wikidata.org/entity/Q100915126,physicist,NA,NA,NA,NA,NA,89,
90,http://www.wikidata.org/entity/Q100916604,physicist,university-teacher,NA,NA,NA,NA,90,
91,http://www.wikidata.org/entity/Q100935165,physicist,university-teacher,NA,NA,NA,NA,91,
92,http://www.wikidata.org/entity/Q100937234,NA,university-teacher,NA,physics,NA,NA,92,
93,http://www.wikidata.org/entity/Q100941165,physicist,NA,NA,NA,NA,NA,93,
94,http://www.wikidata.org/entity/Q100949981,astronomer,university-teacher,NA,astronomy,meteor-shower,NA,94,
95,http://www.wikidata.org/entity/Q1009503,physicist,university-teacher,theoretical-physicist,NA,NA,NA,95,
96,http://www.wikidata.org/entity/Q100969163,physicist,professor,physician,NA,NA,NA,96,
97,http://www.wikidata.org/entity/Q100978619,astronomer,cosmologist,NA,NA,NA,NA,97,
98,http://www.wikidata.org/entity/Q101014952,physicist,university-teacher,NA,NA,NA,NA,98,
99,http://www.wikidata.org/entity/Q101051335,astronomer,NA,NA,NA,NA,NA,99,
100,http://www.wikidata.org/entity/Q101063334,astronomer,engineer,NA,spectroscopy,NA,NA,100,
101,http://www.wikidata.org/entity/Q101064600,physicist,NA,NA,NA,NA,NA,101,
102,http://www.wikidata.org/entity/Q101064795,physicist,NA,NA,NA,NA,NA,102,
103,http://www.wikidata.org/entity/Q101069813,astronomer,university-teacher,NA,NA,NA,NA,103,
104,http://www.wikidata.org/entity/Q101076,astronomer,university-teacher,NA,NA,NA,NA,104,
105,http://www.wikidata.org/entity/Q101079839,physicist,teacher,NA,NA,NA,NA,105,
106,http://www.wikidata.org/entity/Q101083465,physicist,mechanical-engineer,NA,solid-mechanics,NA,NA,106,
107,http://www.wikidata.org/entity/Q101083942,physicist,NA,NA,NA,NA,NA,107,
108,http://www.wikidata.org/entity/Q101086094,physicist,NA,NA,NA,NA,NA,108,
109,http://www.wikidata.org/entity/Q101086392,physicist,NA,NA,cryophysics,NA,NA,109,
110,http://www.wikidata.org/entity/Q101086757,physicist,NA,NA,NA,NA,NA,110,
111,http://www.wikidata.org/entity/Q101094298,physicist,NA,NA,NA,NA,NA,111,
112,http://www.wikidata.org/entity/Q101094360,physicist,NA,NA,NA,NA,NA,112,
113,http://www.wikidata.org/entity/Q101094409,physicist,NA,NA,NA,NA,NA,113,
114,http://www.wikidata.org/entity/Q101099,astronomer,NA,NA,NA,NA,NA,114,
115,http://www.wikidata.org/entity/Q101105840,physicist,NA,NA,NA,NA,NA,115,
116,http://www.wikidata.org/entity/Q101106,physicist,NA,NA,NA,NA,NA,116,
117,http://www.wikidata.org/entity/Q101107507,physicist,NA,NA,NA,NA,NA,117,
118,http://www.wikidata.org/entity/Q101107592,physicist,NA,NA,NA,NA,NA,118,
119,http://www.wikidata.org/entity/Q101107824,physicist,NA,NA,NA,NA,NA,119,
120,http://www.wikidata.org/entity/Q101109244,physicist,NA,NA,NA,NA,NA,120,
121,http://www.wikidata.org/entity/Q101109260,physicist,NA,NA,NA,NA,NA,121,
122,http://www.wikidata.org/entity/Q101133157,physicist,NA,NA,photonics,plasmonics,NA,122,
123,http://www.wikidata.org/entity/Q101137412,physicist,NA,NA,NA,NA,NA,123,
124,http://www.wikidata.org/entity/Q101161139,NA,university-teacher,NA,physics,physical-optics,electronic-engineering,124,
125,http://www.wikidata.org/entity/Q101195671,physicist,radiologist,NA,NA,NA,NA,125,
126,http://www.wikidata.org/entity/Q101196547,physicist,NA,NA,NA,NA,NA,126,
127,http://www.wikidata.org/entity/Q101200182,astronomer,NA,NA,NA,NA,NA,127,
128,http://www.wikidata.org/entity/Q101210606,physicist,university-teacher,historian,nuclear-physics,history-of-physics,nuclear-weapon,128,
129,http://www.wikidata.org/entity/Q101229236,physicist,mathematician,NA,NA,NA,NA,129,
130,http://www.wikidata.org/entity/Q101230061,physicist,NA,NA,NA,NA,NA,130,
131,http://www.wikidata.org/entity/Q101239320,physicist,NA,NA,NA,NA,NA,131,
132,http://www.wikidata.org/entity/Q101245642,physicist,university-teacher,NA,photonics,NA,NA,132,
133,http://www.wikidata.org/entity/Q101251477,physicist,NA,NA,theoretical-physics,NA,NA,133,
134,http://www.wikidata.org/entity/Q1012720,physicist,engineer,NA,NA,NA,NA,134,
135,http://www.wikidata.org/entity/Q101364232,physicist,university-teacher,NA,NA,NA,NA,135,
136,http://www.wikidata.org/entity/Q101378,physicist,university-teacher,chemist,physics,chemistry,mass-spectrometry,136,
137,http://www.wikidata.org/entity/Q101402,astronomer,NA,NA,NA,NA,NA,137,
138,http://www.wikidata.org/entity/Q101408776,physicist,NA,NA,NA,NA,NA,138,
139,http://www.wikidata.org/entity/Q101445670,physicist,chemist,NA,chemistry,NA,NA,139,
140,http://www.wikidata.org/entity/Q101475,physicist,NA,NA,NA,NA,NA,140,
141,http://www.wikidata.org/entity/Q101550,physicist,university-teacher,researcher,NA,NA,NA,141,
142,http://www.wikidata.org/entity/Q101552552,astronomer,NA,NA,NA,NA,NA,142,
143,http://www.wikidata.org/entity/Q101562988,physicist,university-teacher,NA,NA,NA,NA,143,
144,http://www.wikidata.org/entity/Q101615079,astronomer,NA,NA,NA,NA,NA,144,
145,http://www.wikidata.org/entity/Q101659828,NA,researcher,planetary-geologist,astronomy,astrophysics,NA,145,
146,http://www.wikidata.org/entity/Q101728,physicist,university-teacher,scientist,NA,NA,NA,146,
147,http://www.wikidata.org/entity/Q101826387,physicist,NA,NA,NA,NA,NA,147,
148,http://www.wikidata.org/entity/Q101869,physicist,university-teacher,mathematician,NA,NA,NA,148,
149,http://www.wikidata.org/entity/Q101884689,astronomer,meteorologist,NA,NA,NA,NA,149,
150,http://www.wikidata.org/entity/Q102021355,physicist,university-teacher,civil-rights-advocate,NA,NA,NA,150,
151,http://www.wikidata.org/entity/Q102045640,physicist,NA,NA,NA,NA,NA,151,
152,http://www.wikidata.org/entity/Q102054,physicist,university-teacher,NA,NA,NA,NA,152,
153,http://www.wikidata.org/entity/Q102065,physicist,scientist,teacher,physics,history-of-natural-science,NA,153,
154,http://www.wikidata.org/entity/Q102067989,physicist,NA,NA,NA,NA,NA,154,
155,http://www.wikidata.org/entity/Q102076946,astronomer,engineer,NA,NA,NA,NA,155,
156,http://www.wikidata.org/entity/Q102077323,physicist,university-teacher,NA,NA,NA,NA,156,
157,http://www.wikidata.org/entity/Q102077379,physicist,NA,NA,NA,NA,NA,157,
158,http://www.wikidata.org/entity/Q102077589,astronomer,university-teacher,astrophysicist,astronomy,astrophysics,NA,158,
159,http://www.wikidata.org/entity/Q102078022,physicist,university-teacher,NA,NA,NA,NA,159,
160,http://www.wikidata.org/entity/Q102080439,physicist,NA,NA,NA,NA,NA,160,
161,http://www.wikidata.org/entity/Q102080445,physicist,mathematician,NA,NA,NA,NA,161,
162,http://www.wikidata.org/entity/Q102084095,physicist,university-teacher,mathematician,NA,NA,NA,162,
163,http://www.wikidata.org/entity/Q102084787,physicist,computer-scientist,NA,NA,NA,NA,163,
164,http://www.wikidata.org/entity/Q102084796,physicist,NA,NA,NA,NA,NA,164,
165,http://www.wikidata.org/entity/Q102085936,astronomer,NA,NA,NA,NA,NA,165,
166,http://www.wikidata.org/entity/Q102086049,astronomer,NA,NA,NA,NA,NA,166,
167,http://www.wikidata.org/entity/Q102087,physicist,university-teacher,NA,physics,NA,NA,167,
168,http://www.wikidata.org/entity/Q102104,physicist,university-teacher,mathematician,physics,mathematics,experimental-physics,168,
169,http://www.wikidata.org/entity/Q102109449,physicist,NA,NA,NA,NA,NA,169,
170,http://www.wikidata.org/entity/Q102109592,physicist,university-teacher,NA,physics,turbulent-flow,NA,170,
171,http://www.wikidata.org/entity/Q102110198,physicist,NA,NA,NA,NA,NA,171,
172,http://www.wikidata.org/entity/Q102110691,physicist,mathematician,computer-scientist,optics,electromagnetism,laser,172,
173,http://www.wikidata.org/entity/Q102111064,astronomer,NA,NA,NA,NA,NA,173,
174,http://www.wikidata.org/entity/Q102111159,physicist,mathematician,NA,mathematical-physics,NA,NA,174,
175,http://www.wikidata.org/entity/Q102111500,astronomer,mathematician,computer-scientist,NA,NA,NA,175,
176,http://www.wikidata.org/entity/Q102111770,physicist,NA,NA,NA,NA,NA,176,
177,http://www.wikidata.org/entity/Q102111910,physicist,mathematician,NA,NA,NA,NA,177,
178,http://www.wikidata.org/entity/Q102112063,physicist,university-teacher,NA,NA,NA,NA,178,
179,http://www.wikidata.org/entity/Q102113648,physicist,university-teacher,science-communicator,NA,NA,NA,179,
180,http://www.wikidata.org/entity/Q102114828,physicist,NA,NA,NA,NA,NA,180,
181,http://www.wikidata.org/entity/Q102115083,physicist,NA,NA,NA,NA,NA,181,
182,http://www.wikidata.org/entity/Q102115460,physicist,nuclear-physicist,NA,mathematical-physics,NA,NA,182,
183,http://www.wikidata.org/entity/Q102115461,physicist,university-teacher,NA,NA,NA,NA,183,
184,http://www.wikidata.org/entity/Q102115511,physicist,university-teacher,NA,NA,NA,NA,184,
185,http://www.wikidata.org/entity/Q102115574,physicist,cosmologist,NA,NA,NA,NA,185,
186,http://www.wikidata.org/entity/Q102116355,physicist,university-teacher,professor,aerodynamics,fluid-dynamics,NA,186,
187,http://www.wikidata.org/entity/Q102116365,physicist,university-teacher,NA,NA,NA,NA,187,
188,http://www.wikidata.org/entity/Q102116366,physicist,university-teacher,NA,NA,NA,NA,188,
189,http://www.wikidata.org/entity/Q102116490,physicist,university-teacher,NA,quantum-field-theory,statistical-mechanics,superstring-theory,189,
190,http://www.wikidata.org/entity/Q102116638,physicist,university-teacher,NA,NA,NA,NA,190,
191,http://www.wikidata.org/entity/Q102117138,physicist,NA,NA,NA,NA,NA,191,
192,http://www.wikidata.org/entity/Q102117482,physicist,NA,NA,NA,NA,NA,192,
193,http://www.wikidata.org/entity/Q102117971,physicist,NA,NA,NA,NA,NA,193,
194,http://www.wikidata.org/entity/Q102117999,physicist,NA,NA,NA,NA,NA,194,
195,http://www.wikidata.org/entity/Q102118642,physicist,NA,NA,NA,NA,NA,195,
196,http://www.wikidata.org/entity/Q102119027,physicist,university-teacher,astrophysicist,physics,theoretical-physics,astrophysics,196,
197,http://www.wikidata.org/entity/Q102119236,physicist,NA,NA,NA,NA,NA,197,
198,http://www.wikidata.org/entity/Q102119328,physicist,university-teacher,NA,NA,NA,NA,198,
199,http://www.wikidata.org/entity/Q102119841,physicist,NA,NA,NA,NA,NA,199,
200,http://www.wikidata.org/entity/Q102119959,physicist,NA,NA,NA,NA,NA,200,
201,http://www.wikidata.org/entity/Q102121365,physicist,university-teacher,quantum-physicist,physics,quantum-physics,atomic-physics,201,
202,http://www.wikidata.org/entity/Q102121619,physicist,NA,NA,NA,NA,NA,202,
203,http://www.wikidata.org/entity/Q102121713,physicist,university-teacher,NA,NA,NA,NA,203,
204,http://www.wikidata.org/entity/Q102122727,physicist,university-teacher,materials-scientist,physics,semiconductor-device,NA,204,
205,http://www.wikidata.org/entity/Q102122738,astronomer,university-teacher,NA,astronomy,NA,NA,205,
206,http://www.wikidata.org/entity/Q102122863,physicist,NA,NA,NA,NA,NA,206,
207,http://www.wikidata.org/entity/Q102123080,astronomer,NA,NA,NA,NA,NA,207,
