"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
2499,http://www.wikidata.org/entity/Q111952457,physicist,lecturer,NA,NA,NA,NA,2499,
2500,http://www.wikidata.org/entity/Q111956552,physicist,NA,NA,NA,NA,NA,2500,
2501,http://www.wikidata.org/entity/Q11196175,astronomer,NA,NA,NA,NA,NA,2501,
2502,http://www.wikidata.org/entity/Q111965925,physicist,university-teacher,NA,physics,NA,NA,2502,
2503,http://www.wikidata.org/entity/Q11197028,astronomer,writer,NA,NA,NA,NA,2503,
2504,http://www.wikidata.org/entity/Q111972221,physicist,mathematician,NA,physics,mathematics,NA,2504,
2505,http://www.wikidata.org/entity/Q111974611,physicist,NA,NA,computer-simulation,monitoring,NA,2505,
2506,http://www.wikidata.org/entity/Q11197637,astronomer,NA,NA,astrophysics,NA,NA,2506,
2507,http://www.wikidata.org/entity/Q111986940,physicist,university-teacher,scientist,physics,biophysics,research-and-development,2507,
2508,http://www.wikidata.org/entity/Q111987001,physicist,university-teacher,NA,theoretical-physics,NA,NA,2508,
2509,http://www.wikidata.org/entity/Q111987002,physicist,university-teacher,electrical-engineer,plasma-physics,electrical-engineering,NA,2509,
2510,http://www.wikidata.org/entity/Q111987037,physicist,university-teacher,NA,physics,particle-physics,NA,2510,
2511,http://www.wikidata.org/entity/Q111988564,physicist,NA,NA,NA,NA,NA,2511,
2512,http://www.wikidata.org/entity/Q111992668,physicist,professor,NA,NA,NA,NA,2512,
2513,http://www.wikidata.org/entity/Q111994577,astronomer,NA,NA,NA,NA,NA,2513,
2514,http://www.wikidata.org/entity/Q111994948,physicist,university-teacher,research-fellow,NA,NA,NA,2514,
2515,http://www.wikidata.org/entity/Q11200030,astronomer,NA,NA,physics,NA,NA,2515,
2516,http://www.wikidata.org/entity/Q11200333,astronomer,engineer,inventor,telescope,optical-instrument,NA,2516,
2517,http://www.wikidata.org/entity/Q1120159,physicist,NA,NA,NA,NA,NA,2517,
2518,http://www.wikidata.org/entity/Q11201989,astronomer,university-teacher,NA,astronomy,solar-physics,NA,2518,
2519,http://www.wikidata.org/entity/Q11202015,astronomer,NA,NA,NA,NA,NA,2519,
2520,http://www.wikidata.org/entity/Q11202085,astronomer,NA,NA,NA,NA,NA,2520,
2521,http://www.wikidata.org/entity/Q11202665,astronomer,engineer,civil-engineer,NA,NA,NA,2521,
2522,http://www.wikidata.org/entity/Q11202677,astronomer,politician,NA,NA,NA,NA,2522,
2523,http://www.wikidata.org/entity/Q1120269,physicist,non-fiction-writer,NA,NA,NA,NA,2523,
2524,http://www.wikidata.org/entity/Q11202799,physicist,NA,NA,NA,NA,NA,2524,
2525,http://www.wikidata.org/entity/Q112030304,physicist,university-teacher,NA,physics,NA,NA,2525,
2526,http://www.wikidata.org/entity/Q112035991,physicist,physical-chemist,NA,NA,NA,NA,2526,
2527,http://www.wikidata.org/entity/Q112042673,physicist,university-teacher,photographer,NA,NA,NA,2527,
2528,http://www.wikidata.org/entity/Q112044354,astronomer,pedagogue,NA,astronomy,teaching,NA,2528,
2529,http://www.wikidata.org/entity/Q1120528,physicist,mathematician,pedagogue,mathematics,pedagogy,natural-science,2529,
2530,http://www.wikidata.org/entity/Q112053981,physicist,NA,NA,NA,NA,NA,2530,
2531,http://www.wikidata.org/entity/Q112056523,physicist,university-teacher,mathematician,psychology,NA,NA,2531,
2532,http://www.wikidata.org/entity/Q112065058,physicist,NA,NA,NA,NA,NA,2532,
2533,http://www.wikidata.org/entity/Q112075356,astronomer,university-teacher,NA,astrophysics,NA,NA,2533,
2534,http://www.wikidata.org/entity/Q112079914,physicist,NA,NA,NA,NA,NA,2534,
2535,http://www.wikidata.org/entity/Q112080865,physicist,mathematician,engineer,mathematics,electrical-engineering,applied-mathematics,2535,
2536,http://www.wikidata.org/entity/Q11210655,physicist,university-teacher,chemist,NA,NA,NA,2536,
2537,http://www.wikidata.org/entity/Q112107031,physicist,NA,NA,theoretical-physics,NA,NA,2537,
2538,http://www.wikidata.org/entity/Q112110158,physicist,NA,NA,mathematical-model,NA,NA,2538,
2539,http://www.wikidata.org/entity/Q112110439,physicist,NA,NA,NA,NA,NA,2539,
2540,http://www.wikidata.org/entity/Q112110784,physicist,mathematician,NA,NA,NA,NA,2540,
2541,http://www.wikidata.org/entity/Q112114547,physicist,politician,NA,NA,NA,NA,2541,
2542,http://www.wikidata.org/entity/Q112117316,physicist,NA,NA,physics,plasma-physics,NA,2542,
2543,http://www.wikidata.org/entity/Q112122496,astronomer,university-teacher,civil-engineer,NA,NA,NA,2543,
2544,http://www.wikidata.org/entity/Q112122658,physicist,university-teacher,writer,NA,NA,NA,2544,
2545,http://www.wikidata.org/entity/Q112127360,physicist,theoretical-physicist,teacher,NA,NA,NA,2545,
2546,http://www.wikidata.org/entity/Q112133335,astronomer,NA,NA,astronomy,astrophysics,NA,2546,
2547,http://www.wikidata.org/entity/Q1121378,physicist,NA,NA,NA,NA,NA,2547,
2548,http://www.wikidata.org/entity/Q11214443,physicist,professor,NA,particle-physics,NA,NA,2548,
2549,http://www.wikidata.org/entity/Q112150924,astronomer,librarian,NA,NA,NA,NA,2549,
2550,http://www.wikidata.org/entity/Q112161732,physicist,NA,NA,NA,NA,NA,2550,
2551,http://www.wikidata.org/entity/Q112162657,physicist,NA,NA,NA,NA,NA,2551,
2552,http://www.wikidata.org/entity/Q112163099,physicist,NA,NA,NA,NA,NA,2552,
2553,http://www.wikidata.org/entity/Q112163116,physicist,NA,NA,NA,NA,NA,2553,
2554,http://www.wikidata.org/entity/Q112169016,astronomer,NA,NA,NA,NA,NA,2554,
2555,http://www.wikidata.org/entity/Q112171510,physicist,poet,parapsychologist,NA,NA,NA,2555,
2556,http://www.wikidata.org/entity/Q112174732,physicist,university-teacher,NA,physics,experimental-physics,technical-physics,2556,
2557,http://www.wikidata.org/entity/Q112176408,astronomer,NA,NA,NA,NA,NA,2557,
2558,http://www.wikidata.org/entity/Q112186105,physicist,composer,NA,NA,NA,NA,2558,
2559,http://www.wikidata.org/entity/Q11218690,physicist,politician,pedagogue,NA,NA,NA,2559,
2560,http://www.wikidata.org/entity/Q1121914,physicist,NA,NA,NA,NA,NA,2560,
2561,http://www.wikidata.org/entity/Q112191939,physicist,opinion-journalist,memoirist,physics,opinion-journalism,memoir-literature,2561,
2562,http://www.wikidata.org/entity/Q112193105,astronomer,NA,NA,astrophysics,NA,NA,2562,
2563,http://www.wikidata.org/entity/Q112194055,physicist,NA,NA,NA,NA,NA,2563,
2564,http://www.wikidata.org/entity/Q11220590,physicist,university-teacher,mathematician,physics,mathematics,probability-theory,2564,
2565,http://www.wikidata.org/entity/Q112212,physicist,university-teacher,engineer,microelectronics,NA,NA,2565,
2566,http://www.wikidata.org/entity/Q112220206,astronomer,NA,NA,NA,NA,NA,2566,
2567,http://www.wikidata.org/entity/Q112222074,physicist,professor,NA,NA,NA,NA,2567,
2568,http://www.wikidata.org/entity/Q112224630,physicist,theoretical-physicist,academic,NA,NA,NA,2568,
2569,http://www.wikidata.org/entity/Q112224708,physicist,NA,NA,particle-physics,NA,NA,2569,
2570,http://www.wikidata.org/entity/Q112224818,astronomer,researcher,NA,NA,NA,NA,2570,
2571,http://www.wikidata.org/entity/Q112225059,astronomer,crystallographer,garden-designer,NA,NA,NA,2571,
2572,http://www.wikidata.org/entity/Q112228248,astronomer,NA,NA,astronomy,NA,NA,2572,
2573,http://www.wikidata.org/entity/Q112228647,astronomer,university-teacher,NA,NA,NA,NA,2573,
2574,http://www.wikidata.org/entity/Q112232532,astronomer,university-teacher,scientist,astronomy,astronomical-observation,photometry,2574,
2575,http://www.wikidata.org/entity/Q112232642,astronomer,university-teacher,astrophysicist,astronomy,astrophysics,NA,2575,
2576,http://www.wikidata.org/entity/Q112232764,physicist,NA,NA,particle-physics,NA,NA,2576,
2577,http://www.wikidata.org/entity/Q112238249,physicist,NA,NA,NA,NA,NA,2577,
2578,http://www.wikidata.org/entity/Q1122392,physicist,NA,NA,NA,NA,NA,2578,
2579,http://www.wikidata.org/entity/Q112239289,physicist,NA,NA,nonlinear-physics,NA,NA,2579,
2580,http://www.wikidata.org/entity/Q112239979,physicist,NA,NA,NA,NA,NA,2580,
2581,http://www.wikidata.org/entity/Q112250963,physicist,NA,NA,NA,NA,NA,2581,
2582,http://www.wikidata.org/entity/Q11226047,physicist,NA,NA,NA,NA,NA,2582,
2583,http://www.wikidata.org/entity/Q112263927,astronomer,university-teacher,chemist,NA,NA,NA,2583,
2584,http://www.wikidata.org/entity/Q112266146,astronomer,university-teacher,mathematician,astronomy,mathematics,mathematical-analysis,2584,
2585,http://www.wikidata.org/entity/Q112270318,astronomer,geophysicist,NA,NA,NA,NA,2585,
2586,http://www.wikidata.org/entity/Q112281056,physicist,NA,NA,NA,NA,NA,2586,
2587,http://www.wikidata.org/entity/Q112282557,physicist,university-teacher,NA,NA,NA,NA,2587,
2588,http://www.wikidata.org/entity/Q112299659,astronomer,NA,NA,NA,NA,NA,2588,
2589,http://www.wikidata.org/entity/Q112306470,physicist,engineer,writer,fluid-mechanics,NA,NA,2589,
2590,http://www.wikidata.org/entity/Q112306730,physicist,NA,NA,NA,NA,NA,2590,
2591,http://www.wikidata.org/entity/Q112324534,NA,university-teacher,NA,astronomy,NA,NA,2591,
2592,http://www.wikidata.org/entity/Q112333830,physicist,NA,NA,NA,NA,NA,2592,
2593,http://www.wikidata.org/entity/Q112335674,physicist,researcher,NA,NA,NA,NA,2593,
2594,http://www.wikidata.org/entity/Q112338744,astronomer,NA,NA,NA,NA,NA,2594,
2595,http://www.wikidata.org/entity/Q1123396,physicist,university-teacher,friar,NA,NA,NA,2595,
2596,http://www.wikidata.org/entity/Q112341054,astronomer,historian,NA,NA,NA,NA,2596,
2597,http://www.wikidata.org/entity/Q112342758,physicist,university-teacher,NA,nuclear-physics,optics,plasma-physics,2597,
2598,http://www.wikidata.org/entity/Q112342765,NA,university-teacher,NA,physics,optics,laser,2598,
2599,http://www.wikidata.org/entity/Q112342768,physicist,university-teacher,nuclear-physicist,physics,nuclear-physics,spectroscopy,2599,
2600,http://www.wikidata.org/entity/Q112342773,physicist,university-teacher,NA,physics,nuclear-power,sensor,2600,
2601,http://www.wikidata.org/entity/Q112342774,physicist,university-teacher,NA,physics,nuclear-physics,NA,2601,
2602,http://www.wikidata.org/entity/Q112342787,physicist,engineer,NA,optics,optoelectronics,laser,2602,
2603,http://www.wikidata.org/entity/Q112342980,physicist,engineer,NA,theoretical-physics,mathematical-modelling,material,2603,
2604,http://www.wikidata.org/entity/Q112343011,physicist,university-teacher,theoretical-physicist,theoretical-physics,superstring-theory,quantum-gravity,2604,
2605,http://www.wikidata.org/entity/Q112343063,physicist,university-teacher,mathematician,applied-mathematics,wave-propagation,solid,2605,
2606,http://www.wikidata.org/entity/Q112343094,physicist,university-teacher,scientist,electronics,image-processing,signal-processing,2606,
2607,http://www.wikidata.org/entity/Q112343115,physicist,university-teacher,NA,physics,theoretical-physics,mechanics,2607,
2608,http://www.wikidata.org/entity/Q112343119,physicist,university-teacher,scientist,nuclear-physics,particle-physics,atomic-physics,2608,
2609,http://www.wikidata.org/entity/Q112343138,physicist,university-teacher,scientist,biophysics,radiophysics,molecular-biology,2609,
2610,http://www.wikidata.org/entity/Q112343151,physicist,university-teacher,scientist,optics,condensed-matter-physics,spectroscopy,2610,
2611,http://www.wikidata.org/entity/Q112343152,physicist,university-teacher,scientist,optics,spectroscopy,applied-physics,2611,
2612,http://www.wikidata.org/entity/Q112343209,physicist,university-teacher,mathematician,physics,mathematics,new-testament-studies,2612,
2613,http://www.wikidata.org/entity/Q112343297,physicist,university-teacher,NA,mathematical-modelling,remote-sensing,hydrology,2613,
2614,http://www.wikidata.org/entity/Q112343311,physicist,university-teacher,scientist,physics,nuclear-reaction,NA,2614,
2615,http://www.wikidata.org/entity/Q112343415,physicist,university-teacher,NA,physics,science-education,gender,2615,
2616,http://www.wikidata.org/entity/Q112343421,physicist,NA,NA,nanotechnology,materials-science,nanomaterial,2616,
2617,http://www.wikidata.org/entity/Q112343433,physicist,electrical-engineer,NA,electromagnetism,microwave-technology,vacuum,2617,
2618,http://www.wikidata.org/entity/Q112343463,physicist,university-teacher,NA,materials-science,fluid-dynamics,polymer,2618,
2619,http://www.wikidata.org/entity/Q112343481,physicist,university-teacher,NA,semiconductor,heat-transfer,energy-transformation,2619,
2620,http://www.wikidata.org/entity/Q112343487,physicist,university-teacher,NA,particle-physics,mathematical-physics,cosmology,2620,
2621,http://www.wikidata.org/entity/Q112343565,physicist,university-teacher,scientist,physics,applied-physics,metal-physics,2621,
2622,http://www.wikidata.org/entity/Q112343571,NA,university-teacher,pedagogue,physics,mathematics,informatics,2622,
2623,http://www.wikidata.org/entity/Q112343650,physicist,university-teacher,assistant-professor,physics,mathematics,microscopy,2623,
2624,http://www.wikidata.org/entity/Q112343962,physicist,university-teacher,mathematician,physics,mathematics,NA,2624,
2625,http://www.wikidata.org/entity/Q112344210,physicist,scientist,computer-scientist,theoretical-physics,climate-change,sustainable-development,2625,
2626,http://www.wikidata.org/entity/Q112344212,physicist,university-teacher,NA,physics,theoretical-physics,superstring-theory,2626,
2627,http://www.wikidata.org/entity/Q112344893,physicist,NA,NA,NA,NA,NA,2627,
2628,http://www.wikidata.org/entity/Q112345175,physicist,NA,NA,physics,nuclear-physics,thermal-analysis,2628,
2629,http://www.wikidata.org/entity/Q112345229,NA,secondary-school-teacher,NA,physics,NA,NA,2629,
2630,http://www.wikidata.org/entity/Q112345440,NA,professor,pedagogue,physics,mathematics,NA,2630,
2631,http://www.wikidata.org/entity/Q112345607,NA,historian,poet,physics,chemistry,geology,2631,
2632,http://www.wikidata.org/entity/Q112345917,astronomer,NA,NA,NA,NA,NA,2632,
2633,http://www.wikidata.org/entity/Q112345980,physicist,NA,NA,NA,NA,NA,2633,
2634,http://www.wikidata.org/entity/Q112346244,astronomer,physician,photographer,astronomy,medicine,photography,2634,
2635,http://www.wikidata.org/entity/Q112346718,astronomer,physician,poet,astronomy,medicine,satirical-poetry,2635,
2636,http://www.wikidata.org/entity/Q112347025,physicist,NA,NA,NA,NA,NA,2636,
2637,http://www.wikidata.org/entity/Q112347190,physicist,assistant-professor,NA,NA,NA,NA,2637,
2638,http://www.wikidata.org/entity/Q112347338,physicist,NA,NA,NA,NA,NA,2638,
2639,http://www.wikidata.org/entity/Q112347403,astronomer,NA,NA,NA,NA,NA,2639,
2640,http://www.wikidata.org/entity/Q112347422,physicist,NA,NA,NA,NA,NA,2640,
2641,http://www.wikidata.org/entity/Q112347555,physicist,NA,NA,NA,NA,NA,2641,
2642,http://www.wikidata.org/entity/Q112347623,physicist,NA,NA,NA,NA,NA,2642,
2643,http://www.wikidata.org/entity/Q112347907,NA,teacher,primary-school-teacher,physics,mathematics,sports-aviation,2643,
2644,http://www.wikidata.org/entity/Q112348211,physicist,university-teacher,mathematician,physics,mathematics,NA,2644,
2645,http://www.wikidata.org/entity/Q112348461,astronomer,official,NA,NA,NA,NA,2645,
2646,http://www.wikidata.org/entity/Q112348496,physicist,NA,NA,NA,NA,NA,2646,
2647,http://www.wikidata.org/entity/Q112348841,astronomer,teacher,secondary-school-teacher,astronomy,pedagogy,beekeeping,2647,
2648,http://www.wikidata.org/entity/Q1123489,physicist,engineer,chemist,NA,NA,NA,2648,
2649,http://www.wikidata.org/entity/Q112349157,physicist,university-teacher,mathematician,physics,mathematics,education,2649,
2650,http://www.wikidata.org/entity/Q112349226,astronomer,NA,NA,NA,NA,NA,2650,
2651,http://www.wikidata.org/entity/Q112349388,NA,teacher,professor,physics,educational-system,NA,2651,
2652,http://www.wikidata.org/entity/Q112349704,NA,teacher,NA,astronomy,educational-system,language-education,2652,
2653,http://www.wikidata.org/entity/Q112349798,physicist,NA,NA,solid-state-physics,superconductivity,cryophysics,2653,
2654,http://www.wikidata.org/entity/Q112350117,physicist,NA,NA,NA,NA,NA,2654,
2655,http://www.wikidata.org/entity/Q112350133,physicist,university-teacher,professor,physics,acoustics,ultrasound,2655,
2656,http://www.wikidata.org/entity/Q112350190,physicist,NA,NA,NA,NA,NA,2656,
2657,http://www.wikidata.org/entity/Q112350338,astronomer,university-teacher,biologist,NA,NA,NA,2657,
2658,http://www.wikidata.org/entity/Q112351299,physicist,university-teacher,NA,physics,experimental-physics,electronics,2658,
2659,http://www.wikidata.org/entity/Q112351420,physicist,university-teacher,NA,physics,polymer-physics,extrasensory-perception,2659,
2660,http://www.wikidata.org/entity/Q112351517,physicist,historian,NA,NA,NA,NA,2660,
2661,http://www.wikidata.org/entity/Q112351534,astronomer,NA,NA,NA,NA,NA,2661,
2662,http://www.wikidata.org/entity/Q112351583,physicist,NA,NA,NA,NA,NA,2662,
2663,http://www.wikidata.org/entity/Q112351712,astronomer,lecturer,NA,NA,NA,NA,2663,
2664,http://www.wikidata.org/entity/Q112351865,physicist,university-teacher,NA,theoretical-physics,elementary-particle,NA,2664,
2665,http://www.wikidata.org/entity/Q112351901,physicist,NA,NA,NA,NA,NA,2665,
2666,http://www.wikidata.org/entity/Q112352033,physicist,professor,NA,NA,NA,NA,2666,
2667,http://www.wikidata.org/entity/Q112352044,physicist,university-teacher,NA,physics,theoretical-physics,quantum-field-theory,2667,
2668,http://www.wikidata.org/entity/Q112352045,physicist,NA,NA,NA,NA,NA,2668,
2669,http://www.wikidata.org/entity/Q112352422,physicist,NA,NA,physics,NA,NA,2669,
2670,http://www.wikidata.org/entity/Q112352642,physicist,NA,NA,NA,NA,NA,2670,
2671,http://www.wikidata.org/entity/Q112352727,physicist,university-teacher,NA,NA,NA,NA,2671,
2672,http://www.wikidata.org/entity/Q112353674,physicist,university-teacher,NA,NA,NA,NA,2672,
2673,http://www.wikidata.org/entity/Q112355099,physicist,NA,NA,NA,NA,NA,2673,
2674,http://www.wikidata.org/entity/Q112355463,astronomer,NA,NA,NA,NA,NA,2674,
2675,http://www.wikidata.org/entity/Q112355467,physicist,university-teacher,nuclear-physicist,nuclear-physics,NA,NA,2675,
2676,http://www.wikidata.org/entity/Q112356173,physicist,university-teacher,mathematician,NA,NA,NA,2676,
2677,http://www.wikidata.org/entity/Q112356216,physicist,NA,NA,NA,NA,NA,2677,
2678,http://www.wikidata.org/entity/Q112356599,physicist,NA,NA,NA,NA,NA,2678,
2679,http://www.wikidata.org/entity/Q112356732,physicist,chemist,NA,NA,NA,NA,2679,
2680,http://www.wikidata.org/entity/Q112356745,physicist,scientist,teacher,mechanical-engineering,metal,alloy,2680,
2681,http://www.wikidata.org/entity/Q112357146,physicist,politician,NA,NA,NA,NA,2681,
2682,http://www.wikidata.org/entity/Q112357831,physicist,NA,NA,NA,NA,NA,2682,
2683,http://www.wikidata.org/entity/Q112357952,physicist,NA,NA,NA,NA,NA,2683,
2684,http://www.wikidata.org/entity/Q112359986,NA,NA,NA,physics,NA,NA,2684,
2685,http://www.wikidata.org/entity/Q112360191,physicist,nuclear-physicist,author,nuclear-power,NA,NA,2685,
2686,http://www.wikidata.org/entity/Q112360530,physicist,NA,NA,astronomy,NA,NA,2686,
2687,http://www.wikidata.org/entity/Q112360785,astronomer,NA,NA,NA,NA,NA,2687,
2688,http://www.wikidata.org/entity/Q112361181,physicist,nanotechnologist,NA,NA,NA,NA,2688,
2689,http://www.wikidata.org/entity/Q112361839,physicist,NA,NA,NA,NA,NA,2689,
2690,http://www.wikidata.org/entity/Q112362036,physicist,NA,NA,NA,NA,NA,2690,
2691,http://www.wikidata.org/entity/Q112362993,physicist,NA,NA,NA,NA,NA,2691,
2692,http://www.wikidata.org/entity/Q112363236,physicist,NA,NA,NA,NA,NA,2692,
2693,http://www.wikidata.org/entity/Q112363360,physicist,university-teacher,teacher,physics,history-of-physics,subject-didactics,2693,
2694,http://www.wikidata.org/entity/Q112363639,physicist,university-teacher,scientist,physics,nuclear-physics,plasma-physics,2694,
2695,http://www.wikidata.org/entity/Q112364251,physicist,university-teacher,photographer,NA,NA,NA,2695,
2696,http://www.wikidata.org/entity/Q112364858,astronomer,NA,NA,NA,NA,NA,2696,
2697,http://www.wikidata.org/entity/Q112365487,physicist,physician,dermatologist,NA,NA,NA,2697,
2698,http://www.wikidata.org/entity/Q112366193,physicist,NA,NA,NA,NA,NA,2698,
2699,http://www.wikidata.org/entity/Q112366411,physicist,NA,NA,NA,NA,NA,2699,
2700,http://www.wikidata.org/entity/Q112366665,NA,NA,NA,astronomy,NA,NA,2700,
2701,http://www.wikidata.org/entity/Q112367929,physicist,NA,NA,NA,NA,NA,2701,
2702,http://www.wikidata.org/entity/Q112368108,physicist,university-teacher,electrical-engineer,physics,electrical-engineering,NA,2702,
2703,http://www.wikidata.org/entity/Q112368527,physicist,university-teacher,scientist,theoretical-mechanics,continuum-mechanics,NA,2703,
2704,http://www.wikidata.org/entity/Q112368553,physicist,NA,NA,NA,NA,NA,2704,
2705,http://www.wikidata.org/entity/Q112368990,physicist,NA,NA,NA,NA,NA,2705,
2706,http://www.wikidata.org/entity/Q112369013,physicist,NA,NA,NA,NA,NA,2706,
2707,http://www.wikidata.org/entity/Q112369377,physicist,NA,NA,NA,NA,NA,2707,
2708,http://www.wikidata.org/entity/Q112369378,physicist,NA,NA,NA,NA,NA,2708,
2709,http://www.wikidata.org/entity/Q112369382,physicist,NA,NA,NA,NA,NA,2709,
2710,http://www.wikidata.org/entity/Q112369388,physicist,NA,NA,NA,NA,NA,2710,
2711,http://www.wikidata.org/entity/Q112369391,physicist,NA,NA,NA,NA,NA,2711,
2712,http://www.wikidata.org/entity/Q112369405,physicist,NA,NA,NA,NA,NA,2712,
2713,http://www.wikidata.org/entity/Q112369615,physicist,NA,NA,NA,NA,NA,2713,
2714,http://www.wikidata.org/entity/Q112369666,physicist,physician,NA,x-ray-crystallography,NA,NA,2714,
2715,http://www.wikidata.org/entity/Q112369684,physicist,university-teacher,NA,physics,quantum-mechanics,history-of-physics,2715,
2716,http://www.wikidata.org/entity/Q112369695,physicist,pedagogue,biologist,NA,NA,NA,2716,
2717,http://www.wikidata.org/entity/Q112369724,physicist,NA,NA,NA,NA,NA,2717,
2718,http://www.wikidata.org/entity/Q112369725,physicist,NA,NA,NA,NA,NA,2718,
2719,http://www.wikidata.org/entity/Q112369932,physicist,NA,NA,NA,NA,NA,2719,
2720,http://www.wikidata.org/entity/Q112370248,physicist,NA,NA,NA,NA,NA,2720,
2721,http://www.wikidata.org/entity/Q112370637,physicist,NA,NA,NA,NA,NA,2721,
2722,http://www.wikidata.org/entity/Q112371347,physicist,NA,NA,NA,NA,NA,2722,
2723,http://www.wikidata.org/entity/Q112371349,physicist,NA,NA,NA,NA,NA,2723,
2724,http://www.wikidata.org/entity/Q112371405,physicist,NA,NA,NA,NA,NA,2724,
2725,http://www.wikidata.org/entity/Q112371427,physicist,NA,NA,NA,NA,NA,2725,
2726,http://www.wikidata.org/entity/Q112371430,physicist,NA,NA,NA,NA,NA,2726,
2727,http://www.wikidata.org/entity/Q112371492,physicist,NA,NA,NA,NA,NA,2727,
2728,http://www.wikidata.org/entity/Q112371632,NA,NA,NA,astronomy,theoretical-physics,astrophysics,2728,
2729,http://www.wikidata.org/entity/Q112371676,NA,NA,NA,astronomy,astrophysics,geodesy,2729,
2730,http://www.wikidata.org/entity/Q112371846,physicist,NA,NA,NA,NA,NA,2730,
2731,http://www.wikidata.org/entity/Q112371941,physicist,NA,NA,elementary-particle,NA,NA,2731,
2732,http://www.wikidata.org/entity/Q112371959,NA,NA,NA,astronomy,astrophysics,geodesy,2732,
2733,http://www.wikidata.org/entity/Q112372245,NA,scientist,NA,astronomy,astrophysics,geodesy,2733,
2734,http://www.wikidata.org/entity/Q112372353,physicist,executive,merchant,physics,solid-state-physics,magnetism,2734,
2735,http://www.wikidata.org/entity/Q112372396,NA,NA,NA,astronomy,astrophysics,electrical-engineering,2735,
2736,http://www.wikidata.org/entity/Q112372701,physicist,university-teacher,NA,physics,NA,NA,2736,
2737,http://www.wikidata.org/entity/Q112373038,physicist,university-teacher,materials-scientist,physics,materials-engineering,NA,2737,
2738,http://www.wikidata.org/entity/Q112373063,physicist,NA,NA,NA,NA,NA,2738,
2739,http://www.wikidata.org/entity/Q112373258,physicist,university-teacher,NA,NA,NA,NA,2739,
2740,http://www.wikidata.org/entity/Q112373503,physicist,scientist,NA,physics,solid-state-physics,poetry,2740,
2741,http://www.wikidata.org/entity/Q112373514,astronomer,mathematician,NA,NA,NA,NA,2741,
2742,http://www.wikidata.org/entity/Q112373542,astronomer,NA,NA,NA,NA,NA,2742,
2743,http://www.wikidata.org/entity/Q112373583,physicist,university-teacher,teacher,NA,NA,NA,2743,
2744,http://www.wikidata.org/entity/Q112373605,physicist,NA,NA,NA,NA,NA,2744,
2745,http://www.wikidata.org/entity/Q112373742,physicist,NA,NA,NA,NA,NA,2745,
2746,http://www.wikidata.org/entity/Q112374076,physicist,NA,NA,NA,NA,NA,2746,
2747,http://www.wikidata.org/entity/Q112374082,physicist,NA,NA,NA,NA,NA,2747,
2748,http://www.wikidata.org/entity/Q112374086,physicist,NA,NA,NA,NA,NA,2748,
2749,http://www.wikidata.org/entity/Q112374088,physicist,NA,NA,NA,NA,NA,2749,
2750,http://www.wikidata.org/entity/Q112374450,physicist,NA,NA,NA,NA,NA,2750,
2751,http://www.wikidata.org/entity/Q112374451,physicist,NA,NA,NA,NA,NA,2751,
2752,http://www.wikidata.org/entity/Q112374484,physicist,NA,NA,NA,NA,NA,2752,
2753,http://www.wikidata.org/entity/Q112374517,physicist,NA,NA,NA,NA,NA,2753,
2754,http://www.wikidata.org/entity/Q112374539,physicist,mathematician,NA,NA,NA,NA,2754,
2755,http://www.wikidata.org/entity/Q112374606,physicist,NA,NA,NA,NA,NA,2755,
2756,http://www.wikidata.org/entity/Q112374609,physicist,NA,NA,NA,NA,NA,2756,
2757,http://www.wikidata.org/entity/Q112374726,physicist,university-teacher,NA,NA,NA,NA,2757,
2758,http://www.wikidata.org/entity/Q112374884,physicist,NA,NA,NA,NA,NA,2758,
2759,http://www.wikidata.org/entity/Q112374885,physicist,NA,NA,NA,NA,NA,2759,
2760,http://www.wikidata.org/entity/Q112374891,physicist,NA,NA,NA,NA,NA,2760,
2761,http://www.wikidata.org/entity/Q112374896,physicist,NA,NA,NA,NA,NA,2761,
2762,http://www.wikidata.org/entity/Q112374927,physicist,NA,NA,NA,NA,NA,2762,
2763,http://www.wikidata.org/entity/Q112374928,physicist,NA,NA,NA,NA,NA,2763,
2764,http://www.wikidata.org/entity/Q112374938,physicist,mathematician,teacher,NA,NA,NA,2764,
2765,http://www.wikidata.org/entity/Q112374995,physicist,NA,NA,NA,NA,NA,2765,
2766,http://www.wikidata.org/entity/Q112375059,physicist,NA,NA,NA,NA,NA,2766,
2767,http://www.wikidata.org/entity/Q112375082,physicist,economist,NA,NA,NA,NA,2767,
2768,http://www.wikidata.org/entity/Q112375108,physicist,NA,NA,NA,NA,NA,2768,
2769,http://www.wikidata.org/entity/Q112375110,physicist,NA,NA,NA,NA,NA,2769,
2770,http://www.wikidata.org/entity/Q112375125,physicist,NA,NA,NA,NA,NA,2770,
2771,http://www.wikidata.org/entity/Q112375155,physicist,university-teacher,NA,solid-state-physics,NA,NA,2771,
2772,http://www.wikidata.org/entity/Q112375168,physicist,NA,NA,NA,NA,NA,2772,
2773,http://www.wikidata.org/entity/Q112375432,physicist,NA,NA,NA,NA,NA,2773,
2774,http://www.wikidata.org/entity/Q112375441,physicist,NA,NA,NA,NA,NA,2774,
2775,http://www.wikidata.org/entity/Q112375569,physicist,NA,NA,mechanics,electronics,crystal,2775,
2776,http://www.wikidata.org/entity/Q112375687,physicist,NA,NA,NA,NA,NA,2776,
