"pk_person_features","person_uri","occupation_main","occupation_sec1","coded_employer"
285,http://www.wikidata.org/entity/Q102218461,physicist,university-teacher,GLAM
296,http://www.wikidata.org/entity/Q102226933,physicist,university-teacher,publisher
299,http://www.wikidata.org/entity/Q102229209,physicist,university-teacher,education
310,http://www.wikidata.org/entity/Q102237210,physicist,university-teacher,publisher
316,http://www.wikidata.org/entity/Q102240864,physicist,university-teacher,education
323,http://www.wikidata.org/entity/Q102245156,physicist,university-teacher,institute
325,http://www.wikidata.org/entity/Q102246170,physicist,university-teacher,organization
330,http://www.wikidata.org/entity/Q102248649,physicist,university-teacher,education
332,http://www.wikidata.org/entity/Q102250757,physicist,university-teacher,university
342,http://www.wikidata.org/entity/Q102263901,physicist,mathematician,education
343,http://www.wikidata.org/entity/Q102266,physicist,university-teacher,education
345,http://www.wikidata.org/entity/Q102266607,physicist,preservationist,publisher
346,http://www.wikidata.org/entity/Q102267579,physicist,university-teacher,education
347,http://www.wikidata.org/entity/Q102267678,physicist,university-teacher,university
352,http://www.wikidata.org/entity/Q102273290,physicist,university-teacher,education
356,http://www.wikidata.org/entity/Q102277886,physicist,university-teacher,education
362,http://www.wikidata.org/entity/Q102284829,physicist,university-teacher,publisher
365,http://www.wikidata.org/entity/Q102287513,physicist,university-teacher,education
366,http://www.wikidata.org/entity/Q102291,physicist,chemist,education
371,http://www.wikidata.org/entity/Q102297412,physicist,business-consultant,education
372,http://www.wikidata.org/entity/Q102298263,physicist,university-teacher,education
374,http://www.wikidata.org/entity/Q102299921,physicist,mathematician,publisher
375,http://www.wikidata.org/entity/Q102300,physicist,university-teacher,agency
380,http://www.wikidata.org/entity/Q102302580,physicist,university-teacher,university
388,http://www.wikidata.org/entity/Q102305241,physicist,university-teacher,education
390,http://www.wikidata.org/entity/Q102305290,physicist,university-teacher,university
398,http://www.wikidata.org/entity/Q102306320,physicist,university-teacher,education
409,http://www.wikidata.org/entity/Q102311707,astronomer,researcher,publisher
411,http://www.wikidata.org/entity/Q102311999,astronomer,university-teacher,education
434,http://www.wikidata.org/entity/Q102314323,astronomer,university-teacher,education
444,http://www.wikidata.org/entity/Q102316141,physicist,engineer,education
452,http://www.wikidata.org/entity/Q102321457,physicist,university-teacher,education
457,http://www.wikidata.org/entity/Q102328,physicist,university-teacher,education
458,http://www.wikidata.org/entity/Q102330373,physicist,university-teacher,university
459,http://www.wikidata.org/entity/Q102330789,physicist,mathematician,education
471,http://www.wikidata.org/entity/Q102338595,physicist,translator,institute
472,http://www.wikidata.org/entity/Q102338878,physicist,university-teacher,education
474,http://www.wikidata.org/entity/Q102338891,physicist,university-teacher,education
477,http://www.wikidata.org/entity/Q102342745,physicist,computer-scientist,institute
478,http://www.wikidata.org/entity/Q102343,physicist,university-teacher,university
484,http://www.wikidata.org/entity/Q102347014,physicist,university-teacher,publisher
489,http://www.wikidata.org/entity/Q102349628,astronomer,university-teacher,publisher
490,http://www.wikidata.org/entity/Q102352668,physicist,university-teacher,education
500,http://www.wikidata.org/entity/Q102357892,physicist,university-teacher,education
511,http://www.wikidata.org/entity/Q102365606,astronomer,astrophysicist,education
512,http://www.wikidata.org/entity/Q102365663,physicist,data-scientist,university
521,http://www.wikidata.org/entity/Q102375173,physicist,university-teacher,education
522,http://www.wikidata.org/entity/Q102376904,physicist,university-teacher,education
524,http://www.wikidata.org/entity/Q102378708,physicist,university-teacher,school
528,http://www.wikidata.org/entity/Q102382534,physicist,university-teacher,education
531,http://www.wikidata.org/entity/Q102384725,physicist,university-teacher,education
