"label","o1","class"
"George Ogden Abell","http://dbpedia.org/resource/George_Ogden_Abell",1
"Tarmo Oja","http://dbpedia.org/resource/Tarmo_Oja",1
"Marta Graciela Rovira","http://dbpedia.org/resource/Marta_Graciela_Rovira",1
"Mary Anna Draper","http://dbpedia.org/resource/Mary_Anna_Draper",1
"Al-Biruni","http://dbpedia.org/resource/Al-Biruni",1
"Alan Hale (astronomer)","http://dbpedia.org/resource/Alan_Hale_(astronomer)",1
"Alastair G. W. Cameron","http://dbpedia.org/resource/Alastair_G._W._Cameron",1
"Albert Einstein","http://dbpedia.org/resource/Albert_Einstein",1
"Albert Whitford","http://dbpedia.org/resource/Albert_Whitford",1
"Aleksander Wolszczan","http://dbpedia.org/resource/Aleksander_Wolszczan",1
"Alex Filippenko","http://dbpedia.org/resource/Alex_Filippenko",1
"Alexander A. Gurshtein","http://dbpedia.org/resource/Alexander_A._Gurshtein",1
"Alexander Dalgarno","http://dbpedia.org/resource/Alexander_Dalgarno",1
"Alexander Nikolaevich Deutsch","http://dbpedia.org/resource/Alexander_Nikolaevich_Deutsch",1
"Alexis Bouvard","http://dbpedia.org/resource/Alexis_Bouvard",1
"Alfred Bohrmann","http://dbpedia.org/resource/Alfred_Bohrmann",1
"Alfred Fowler","http://dbpedia.org/resource/Alfred_Fowler",1
"Arthur Auwers","http://dbpedia.org/resource/Arthur_Auwers",1
"Arthur Eddington","http://dbpedia.org/resource/Arthur_Eddington",1
"Aryabhata","http://dbpedia.org/resource/Aryabhata",1
"Asaph Hall","http://dbpedia.org/resource/Asaph_Hall",1
"August Ferdinand Möbius","http://dbpedia.org/resource/August_Ferdinand_Möbius",1
"August Kopff","http://dbpedia.org/resource/August_Kopff",1
"Auguste Charlois","http://dbpedia.org/resource/Auguste_Charlois",1
"Avi Loeb","http://dbpedia.org/resource/Avi_Loeb",1
"Axel Firsoff","http://dbpedia.org/resource/Axel_Firsoff",1
"Beatriz Barbuy","http://dbpedia.org/resource/Beatriz_Barbuy",1
"Ben Gascoigne","http://dbpedia.org/resource/Ben_Gascoigne",1
"Benjamin Apthorp Gould","http://dbpedia.org/resource/Benjamin_Apthorp_Gould",1
"Benjamin Banneker","http://dbpedia.org/resource/Benjamin_Banneker",1
"Bernard Lovell","http://dbpedia.org/resource/Bernard_Lovell",1
"Bernard Lyot","http://dbpedia.org/resource/Bernard_Lyot",1
"Bertil Lindblad","http://dbpedia.org/resource/Bertil_Lindblad",1
"Akihiko Tago","http://dbpedia.org/resource/Akihiko_Tago",1
"Akimasa Nakamura","http://dbpedia.org/resource/Akimasa_Nakamura",1
"Francis Baily","http://dbpedia.org/resource/Francis_Baily",1
"Frank Drake","http://dbpedia.org/resource/Frank_Drake",1
"Frank K. Edmondson","http://dbpedia.org/resource/Frank_K._Edmondson",1
"Frank Schlesinger","http://dbpedia.org/resource/Frank_Schlesinger",1
"Frank Washington Very","http://dbpedia.org/resource/Frank_Washington_Very",1
"Frank Watson Dyson","http://dbpedia.org/resource/Frank_Watson_Dyson",1
"Franz Xaver von Zach","http://dbpedia.org/resource/Franz_Xaver_von_Zach",1
"François Arago","http://dbpedia.org/resource/François_Arago",1
"Fred Espenak","http://dbpedia.org/resource/Fred_Espenak",1
"Fred Hoyle","http://dbpedia.org/resource/Fred_Hoyle",1
"Fred Lawrence Whipple","http://dbpedia.org/resource/Fred_Lawrence_Whipple",1
"Frederick C. Leonard","http://dbpedia.org/resource/Frederick_C._Leonard",1
"Freeman Dyson","http://dbpedia.org/resource/Freeman_Dyson",1
"Friedrich Bessel","http://dbpedia.org/resource/Friedrich_Bessel",1
"Friedrich Georg Wilhelm von Struve","http://dbpedia.org/resource/Friedrich_Georg_Wilhelm_von_Struve",1
"Friedrich Wilhelm Argelander","http://dbpedia.org/resource/Friedrich_Wilhelm_Argelander",1
"Fritz Zwicky","http://dbpedia.org/resource/Fritz_Zwicky",1
"Fulvio Melia","http://dbpedia.org/resource/Fulvio_Melia",1
"Galileo Galilei","http://dbpedia.org/resource/Galileo_Galilei",1
"Gan De","http://dbpedia.org/resource/Gan_De",1
"Gennady S. Bisnovatyi-Kogan","http://dbpedia.org/resource/Gennady_S._Bisnovatyi-Kogan",1
"George Alcock","http://dbpedia.org/resource/George_Alcock",1
"George Biddell Airy","http://dbpedia.org/resource/George_Biddell_Airy",1
"George Ellery Hale","http://dbpedia.org/resource/George_Ellery_Hale",1
"George Gamow","http://dbpedia.org/resource/George_Gamow",1
"George Parker, 2nd Earl of Macclesfield","http://dbpedia.org/resource/George_Parker,_2nd_Earl_of_Macclesfield",1
"George Smoot","http://dbpedia.org/resource/George_Smoot",1
"George Van Biesbroeck","http://dbpedia.org/resource/George_Van_Biesbroeck",1
"George Wetherill","http://dbpedia.org/resource/George_Wetherill",1
