"subject_uri","property_uri","text_value","import_metadata"
"http://dbpedia.org/resource/Benjamin_Banneker","http://dbpedia.org/property/occupation","almanac author, surveyor, farmer","20221211_2"
"http://dbpedia.org/resource/Kosmas_Balanos","http://dbpedia.org/property/occupation","head of the Gouma  School","20221211_2"
"http://dbpedia.org/resource/David_Rittenhouse","http://dbpedia.org/property/occupation","Mathematician","20221211_2"
"http://dbpedia.org/resource/David_Rittenhouse","http://dbpedia.org/property/occupation","Inventor","20221211_2"
"http://dbpedia.org/resource/David_Rittenhouse","http://dbpedia.org/property/occupation","Astronomer","20221211_2"
"http://dbpedia.org/resource/Carsten_Niebuhr","http://dbpedia.org/property/occupation","mathematician, cartographer, and explorer","20221211_2"
"http://dbpedia.org/resource/Hans_Momsen","http://dbpedia.org/property/occupation","Farmer, layman mathematician, astronomer, surveyor","20221211_2"
"http://dbpedia.org/resource/John_Arnold_(watchmaker)","http://dbpedia.org/property/occupation","Watchmaker","20221211_2"
"http://dbpedia.org/resource/Konstantinos_Tzechanis","http://dbpedia.org/property/occupation","Scholar","20221211_2"
"http://dbpedia.org/resource/Gilbert_Romme","http://dbpedia.org/property/occupation","politician and mathematician","20221211_2"
"http://dbpedia.org/resource/Andrew_Ellicott","http://dbpedia.org/property/occupation","Surveyor and town planner","20221211_2"
"http://dbpedia.org/resource/Shizuki_Tadao","http://dbpedia.org/property/occupation","Astronomer and translator","20221211_2"
"http://dbpedia.org/resource/Christian_Kramp","http://dbpedia.org/property/occupation","Mathematician","20221211_2"
"http://dbpedia.org/resource/Blasius_Merrem","http://dbpedia.org/property/occupation","Naturalist, zoologist","20221211_2"
"http://dbpedia.org/resource/Thomas_Norris_(1765–1852)","http://dbpedia.org/property/occupation","Businessman, art collector, naturalist and astronomer","20221211_2"
"http://dbpedia.org/resource/William_Gooch_(astronomer)","http://dbpedia.org/property/occupation","Astronomer","20221211_2"
