"subject_uri","property_uri","object_uri","label","import_metadata"
"http://dbpedia.org/resource/Marino_Ghetaldi","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Marino_Ghetaldi","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physicist","Physicist","20221201_1"
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrologer","Astrologer","20221201_1"
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jurist","Jurist","20221201_1"
"http://dbpedia.org/resource/Andrea_Argoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Robert_Fludd","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrologer","Astrologer","20221201_1"
"http://dbpedia.org/resource/Robert_Fludd","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/Robert_Fludd","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physician","Physician","20221201_1"
"http://dbpedia.org/resource/Anne_Turner_(murderer)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Handmaiden","Handmaiden","20221201_1"
"http://dbpedia.org/resource/Anne_Turner_(murderer)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Maidservant","Maidservant","20221201_1"
"http://dbpedia.org/resource/Paul_Guldin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Paul_Guldin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Paul_Guldin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jesuits","Jesuits","20221201_1"
"http://dbpedia.org/resource/Paul_Guldin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jesuit","Jesuit","20221201_1"
"http://dbpedia.org/resource/Claude_Gaspar_Bachet_de_Méziriac","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Scientist","Scientist","20221201_1"
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jesuits","Jesuits","20221201_1"
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Philosopher","Philosopher","20221201_1"
"http://dbpedia.org/resource/Mario_Bettinus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jesuit","Jesuit","20221201_1"
"http://dbpedia.org/resource/Kaspar_Uttenhofer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Ole_Worm","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Natural_history","Natural history","20221201_1"
"http://dbpedia.org/resource/Ole_Worm","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Antiquarian","Antiquarian","20221201_1"
"http://dbpedia.org/resource/Ole_Worm","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physician","Physician","20221201_1"
"http://dbpedia.org/resource/Daniel_Hay_du_Chastelet_de_Chambon","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Historian","Historian","20221201_1"
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Dialectology","Dialectology","20221201_1"
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physicist","Physicist","20221201_1"
"http://dbpedia.org/resource/Ovidio_Montalbani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Dialectologist","Dialectologist","20221201_1"
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrologer","Astrologer","20221201_1"
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Author","Author","20221201_1"
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Translator","Translator","20221201_1"
"http://dbpedia.org/resource/William_Lilly","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Translation","Translation","20221201_1"
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrologer","Astrologer","20221201_1"
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Monk","Monk","20221201_1"
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Placidus_de_Titis","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Ismaël_Bullialdus","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Vincentio_Reinieri","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Juan_Caramuel_y_Lobkowitz","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Vincentio_Reinieri","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Honoré_Fabri","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Honoré_Fabri","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physicist","Physicist","20221201_1"
"http://dbpedia.org/resource/Honoré_Fabri","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jesuits","Jesuits","20221201_1"
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Alchemy","Alchemy","20221201_1"
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Officer_of_arms","Officer of arms","20221201_1"
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Antiquarian","Antiquarian","20221201_1"
"http://dbpedia.org/resource/Jean_Picard","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/René-François_de_Sluse","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/William_Ramsay_(astrologer)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrologer","Astrologer","20221201_1"
"http://dbpedia.org/resource/William_Ramsay_(astrologer)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/William_Ramsay_(astrologer)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physician","Physician","20221201_1"
"http://dbpedia.org/resource/Alessandro_Marchetti_(mathematician)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Pieter_de_Graeff","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Landlord","Landlord","20221201_1"
"http://dbpedia.org/resource/Pieter_de_Graeff","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Regent","Regent","20221201_1"
"http://dbpedia.org/resource/Jacques_Ozanam","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Arthur_Storer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Thomas_Pereira","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Scientist","Scientist","20221201_1"
"http://dbpedia.org/resource/Thomas_Pereira","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Thomas_Pereira","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Jesuits","Jesuits","20221201_1"
"http://dbpedia.org/resource/William_Molyneux","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Parliament_of_Ireland","Parliament of Ireland","20221201_1"
"http://dbpedia.org/resource/George_Cheyne_(physician)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Physician","Physician","20221201_1"
"http://dbpedia.org/resource/Sámuel_Mikoviny","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Cartography","Cartography","20221201_1"
"http://dbpedia.org/resource/Sámuel_Mikoviny","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Sámuel_Mikoviny","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Cartographer","Cartographer","20221201_1"
"http://dbpedia.org/resource/Sámuel_Mikoviny","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Engineer","Engineer","20221201_1"
"http://dbpedia.org/resource/Emanuel_Swedenborg","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Anatomy","Anatomy","20221201_1"
"http://dbpedia.org/resource/Emanuel_Swedenborg","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mining_engineer","Mining engineer","20221201_1"
"http://dbpedia.org/resource/Emanuel_Swedenborg","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Author","Author","20221201_1"
"http://dbpedia.org/resource/Emanuel_Swedenborg","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Carlo_Lodoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Architect","Architect","20221201_1"
"http://dbpedia.org/resource/Carlo_Lodoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Architectural_theory","Architectural theory","20221201_1"
"http://dbpedia.org/resource/Carlo_Lodoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Franciscans","Franciscans","20221201_1"
"http://dbpedia.org/resource/Carlo_Lodoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Carlo_Lodoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Teacher","Teacher","20221201_1"
"http://dbpedia.org/resource/Carlo_Lodoli","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Franciscan_priest","Franciscan priest","20221201_1"
"http://dbpedia.org/resource/Muhammad_Ibn_Muhammad_Al-Fulani_Al-Kishwani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astrology","Astrology","20221201_1"
"http://dbpedia.org/resource/Muhammad_Ibn_Muhammad_Al-Fulani_Al-Kishwani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Muhammad_Ibn_Muhammad_Al-Fulani_Al-Kishwani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mysticism","Mysticism","20221201_1"
"http://dbpedia.org/resource/Muhammad_Ibn_Muhammad_Al-Fulani_Al-Kishwani","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Pedro_Vicente_Maldonado","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Riobamba","Riobamba","20221201_1"
"http://dbpedia.org/resource/Jean_Godin_des_Odonais","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Cartography","Cartography","20221201_1"
"http://dbpedia.org/resource/Jean_Godin_des_Odonais","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Natural_history","Natural history","20221201_1"
"http://dbpedia.org/resource/Jean_Godin_des_Odonais","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Naturalist","Naturalist","20221201_1"
"http://dbpedia.org/resource/Samuel_Dunn_(mathematician)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Nehemiah_Strong","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Nehemiah_Strong","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Meteorologist","Meteorologist","20221201_1"
"http://dbpedia.org/resource/Benjamin_Banneker","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Surveying","Surveying","20221201_1"
"http://dbpedia.org/resource/Benjamin_Banneker","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Farmer","Farmer","20221201_1"
"http://dbpedia.org/resource/Kosmas_Balanos","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/David_Rittenhouse","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Ajima_Naonobu","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Carsten_Niebuhr","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Cartography","Cartography","20221201_1"
"http://dbpedia.org/resource/Carsten_Niebuhr","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Carsten_Niebuhr","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Exploration","Exploration","20221201_1"
"http://dbpedia.org/resource/Simone_Stratigo","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Navigation","Navigation","20221201_1"
"http://dbpedia.org/resource/Simone_Stratigo","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematics","Mathematics","20221201_1"
"http://dbpedia.org/resource/Simone_Stratigo","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Nautical_science","Nautical science","20221201_1"
"http://dbpedia.org/resource/Hans_Momsen","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Hans_Momsen","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Cadastre","Cadastre","20221201_1"
"http://dbpedia.org/resource/John_Arnold_(watchmaker)","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Watchmaker","Watchmaker","20221201_1"
"http://dbpedia.org/resource/Gilbert_Romme","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Politician","Politician","20221201_1"
"http://dbpedia.org/resource/Gilbert_Romme","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mathematician","Mathematician","20221201_1"
"http://dbpedia.org/resource/Shizuki_Tadao","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Translation","Translation","20221201_1"
"http://dbpedia.org/resource/Shizuki_Tadao","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Astronomer","Astronomer","20221201_1"
"http://dbpedia.org/resource/Blasius_Merrem","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Natural_history","Natural history","20221201_1"
"http://dbpedia.org/resource/Blasius_Merrem","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Zoology","Zoology","20221201_1"
"http://dbpedia.org/resource/Luca_de_Samuele_Cagnazzi","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Archdeacon","Archdeacon","20221201_1"
"http://dbpedia.org/resource/Luca_de_Samuele_Cagnazzi","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Deputy_(legislator)","Deputy (legislator)","20221201_1"
